2024-10-25 15:25:35.771064,######################################################################
2024-10-25 15:25:35.771620,### UKRAA: The Pico Muon Detector                                  ###
2024-10-25 15:25:35.774320,### S/W version: 0.1.3                                             ###
2024-10-25 15:25:35.774782,######################################################################
2024-10-25 15:25:35.775307,ID, Event, ADC(0-1024), EllapsedTime(mS), DeadTime(mS), Temperature(C), Pressure(hPa)
2024-10-25 15:33:33.815475,C,1,461,6320,7,25.6,1012.1
2024-10-25 15:33:35.841585,T,10,63,8177,8,25.6,1012.1
2024-10-25 15:33:35.842610,T,11,81,8207,8,25.6,1012.1
2024-10-25 15:33:35.842837,T,12,126,8803,8,25.6,1012.1
2024-10-25 15:33:36.851617,T,13,89,9657,9,25.6,1012.1
2024-10-25 15:33:36.852637,B,8,106,9748,7,25.6,1012.1
2024-10-25 15:33:37.870944,T,14,797,10608,12,25.6,1012.1
2024-10-25 15:33:37.872569,T,15,187,10737,12,25.6,1012.1
2024-10-25 15:33:37.872833,T,16,148,11056,12,25.6,1012.1
2024-10-25 15:33:38.891754,B,9,53,11505,9,25.6,1012.1
2024-10-25 15:33:38.892774,B,10,81,11637,9,25.6,1012.1
2024-10-25 15:33:38.893007,B,11,130,11929,9,25.6,1012.1
2024-10-25 15:33:38.893745,T,17,90,11967,13,25.6,1012.1
2024-10-25 15:33:39.901790,T,18,144,12598,14,25.6,1012.1
2024-10-25 15:33:40.911848,T,19,63,13407,14,25.6,1012.1
2024-10-25 15:33:40.912884,B,12,67,13765,12,25.6,1012.1
2024-10-25 15:33:40.913854,B,13,233,14045,12,25.6,1012.1
2024-10-25 15:33:40.914086,B,14,414,14079,12,25.6,1012.1
2024-10-25 15:33:41.921880,B,15,169,14359,14,25.6,1012.1
2024-10-25 15:33:41.922931,B,16,283,14657,14,25.6,1012.1
2024-10-25 15:33:42.941936,B,17,115,15227,16,25.6,1012.1
2024-10-25 15:33:42.942187,B,18,73,15252,16,25.6,1012.1
2024-10-25 15:33:42.942981,B,19,233,15518,16,25.6,1012.1
2024-10-25 15:33:42.943962,T,20,64,15771,15,25.6,1012.1
2024-10-25 15:33:43.952004,B,20,97,16701,17,25.6,1012.1
2024-10-25 15:33:43.953045,T,21,138,17213,16,25.6,1012.1
2024-10-25 15:33:44.962039,T,22,85,17842,16,25.6,1012.1
2024-10-25 15:33:45.971280,T,23,113,18407,18,25.6,1012.1
2024-10-25 15:33:45.971517,T,24,202,18472,18,25.6,1012.1
2024-10-25 15:33:46.982207,T,25,319,19345,19,25.6,1012.1
2024-10-25 15:33:46.983377,B,21,526,19345,19,25.6,1012.1
2024-10-25 15:33:46.984273,C,2,422,19345,19,25.6,1012.1
2024-10-25 15:33:46.985249,B,22,139,20072,19,25.6,1012.1
2024-10-25 15:33:48.002191,B,23,78,20427,21,25.6,1012.1
2024-10-25 15:33:48.003182,T,26,400,20618,23,25.6,1012.1
2024-10-25 15:33:48.004184,B,24,504,20618,21,25.6,1012.1
2024-10-25 15:33:48.004373,C,3,452,20618,22,25.6,1012.1
2024-10-25 15:33:48.004573,T,27,396,20799,23,25.6,1012.1
2024-10-25 15:33:48.005161,B,25,66,21132,21,25.6,1012.1
2024-10-25 15:33:48.006141,T,28,224,21231,23,25.6,1012.1
2024-10-25 15:33:49.022221,B,26,127,22160,22,25.6,1012.1
2024-10-25 15:33:50.031304,B,27,86,22316,22,25.6,1012.1
2024-10-25 15:33:50.032420,T,29,84,22559,23,25.6,1012.1
2024-10-25 15:33:51.041354,T,30,69,23316,26,25.6,1012.1
2024-10-25 15:33:51.041764,B,28,384,23405,26,25.6,1012.1
2024-10-25 15:33:51.042442,T,31,399,23534,26,25.6,1012.1
2024-10-25 15:33:51.043348,B,29,139,23559,26,25.6,1012.1
2024-10-25 15:33:51.044334,B,30,50,23793,26,25.6,1012.1
2024-10-25 15:33:51.045335,B,31,203,23826,26,25.6,1012.1
2024-10-25 15:33:51.046345,T,32,70,23894,26,25.6,1012.1
2024-10-25 15:33:52.060539,T,33,63,24336,26,25.6,1012.1
2024-10-25 15:33:52.063445,B,32,110,24928,27,25.6,1012.1
2024-10-25 15:33:52.065279,B,33,63,25167,27,25.6,1012.1
2024-10-25 15:33:53.081571,B,34,90,25381,29,25.6,1012.2
2024-10-25 15:33:53.082584,T,34,699,25938,28,25.6,1012.2
2024-10-25 15:33:53.082836,B,35,620,26273,29,25.6,1012.2
2024-10-25 15:33:54.091404,T,35,58,26492,30,25.6,1012.2
2024-10-25 15:33:54.091957,T,36,164,26531,30,25.6,1012.2
2024-10-25 15:33:54.092643,T,37,102,27068,30,25.6,1012.2
2024-10-25 15:33:55.101538,T,38,313,27617,32,25.6,1012.2
2024-10-25 15:33:55.101822,B,36,413,27617,30,25.6,1012.2
