2024-12-31 00:00:00,131,95,13
2024-12-31 00:01:00,128,113,20
2024-12-31 00:02:00,120,92,13
2024-12-31 00:03:00,110,102,14
2024-12-31 00:04:00,111,95,13
2024-12-31 00:05:00,128,100,12
2024-12-31 00:06:00,96,86,9
2024-12-31 00:07:00,133,110,14
2024-12-31 00:08:00,141,99,12
2024-12-31 00:09:00,115,93,14
2024-12-31 00:10:00,135,117,19
2024-12-31 00:11:00,103,98,6
2024-12-31 00:12:00,128,108,15
2024-12-31 00:13:00,128,118,17
2024-12-31 00:14:00,139,93,18
2024-12-31 00:15:00,115,90,11
2024-12-31 00:16:00,129,114,15
2024-12-31 00:17:00,111,106,18
2024-12-31 00:18:00,136,106,16
2024-12-31 00:19:00,119,112,14
2024-12-31 00:20:00,126,105,20
2024-12-31 00:21:00,132,128,17
2024-12-31 00:22:00,123,114,14
2024-12-31 00:23:00,132,105,15
2024-12-31 00:24:00,116,97,9
2024-12-31 00:25:00,131,104,15
2024-12-31 00:26:00,127,96,9
2024-12-31 00:27:00,122,124,17
2024-12-31 00:28:00,121,96,10
2024-12-31 00:29:00,137,105,13
2024-12-31 00:30:00,127,106,14
2024-12-31 00:31:00,119,115,12
2024-12-31 00:32:00,141,104,14
2024-12-31 00:33:00,137,120,17
2024-12-31 00:34:00,138,103,15
2024-12-31 00:35:00,130,111,17
2024-12-31 00:36:00,130,109,22
2024-12-31 00:37:00,139,94,22
2024-12-31 00:38:00,130,88,20
2024-12-31 00:39:00,125,101,7
2024-12-31 00:40:00,127,97,14
2024-12-31 00:41:00,142,109,9
2024-12-31 00:42:00,125,114,10
2024-12-31 00:43:00,135,111,16
2024-12-31 00:44:00,121,104,9
2024-12-31 00:45:00,124,109,15
2024-12-31 00:46:00,127,115,19
2024-12-31 00:47:00,120,104,13
2024-12-31 00:48:00,121,97,14
2024-12-31 00:49:00,114,112,11
2024-12-31 00:50:00,124,118,11
2024-12-31 00:51:00,126,90,15
2024-12-31 00:52:00,139,119,13
2024-12-31 00:53:00,112,94,9
2024-12-31 00:54:00,151,107,9
2024-12-31 00:55:00,119,121,16
2024-12-31 00:56:00,120,101,8
2024-12-31 00:57:00,106,97,13
2024-12-31 00:58:00,135,104,16
2024-12-31 00:59:00,112,124,10
2024-12-31 01:00:00,137,116,14
2024-12-31 01:01:00,125,89,18
2024-12-31 01:02:00,125,92,9
2024-12-31 01:03:00,134,120,16
2024-12-31 01:04:00,139,122,15
2024-12-31 01:05:00,115,103,14
2024-12-31 01:06:00,128,112,15
2024-12-31 01:07:00,142,108,22
2024-12-31 01:08:00,118,83,10
2024-12-31 01:09:00,117,105,17
2024-12-31 01:10:00,123,136,20
2024-12-31 01:11:00,133,110,21
2024-12-31 01:12:00,111,117,10
2024-12-31 01:13:00,116,102,16
2024-12-31 01:14:00,133,113,18
2024-12-31 01:15:00,127,119,16
2024-12-31 01:16:00,121,105,19
2024-12-31 01:17:00,112,119,20
2024-12-31 01:18:00,127,111,15
2024-12-31 01:19:00,132,107,13
2024-12-31 01:20:00,118,111,16
2024-12-31 01:21:00,119,101,13
2024-12-31 01:22:00,129,106,15
2024-12-31 01:23:00,112,108,9
2024-12-31 01:24:00,118,119,19
2024-12-31 01:25:00,110,112,14
2024-12-31 01:26:00,130,96,7
2024-12-31 01:27:00,128,110,11
2024-12-31 01:28:00,137,103,13
2024-12-31 01:29:00,118,112,14
2024-12-31 01:30:00,124,96,15
2024-12-31 01:31:00,110,103,14
2024-12-31 01:32:00,112,129,19
2024-12-31 01:33:00,106,104,12
2024-12-31 01:34:00,120,111,14
2024-12-31 01:35:00,131,110,11
