0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,2316,1205,0
51,1881,1299,0
52,2017,1566,1
53,1498,1183,0
54,1848,1549,1
55,1480,1273,1
56,1818,1449,4
57,1386,1167,1
58,1657,1441,2
59,1442,1101,2
60,1779,1425,3
61,1321,1062,1
62,1599,1423,4
63,1501,1216,4
64,1604,1331,1
65,1315,1026,3
66,1583,1256,4
67,1259,1043,3
68,1511,1275,3
69,1104,925,4
70,1460,1240,1
71,1260,965,6
72,1426,1178,6
73,1141,911,3
74,1382,1144,2
75,1204,898,2
76,1344,1141,2
77,1079,822,6
78,1262,1159,4
79,1167,926,2
80,1309,1082,4
81,1036,829,3
82,1284,1102,7
83,1061,890,7
84,1230,1010,1
85,978,788,5
86,1185,1024,5
87,997,819,1
88,1221,949,4
89,886,768,3
90,1109,905,3
91,954,790,3
92,1096,921,4
93,914,736,2
94,1110,890,4
95,825,675,6
96,1118,898,0
97,843,640,8
98,1053,899,3
99,881,713,7
100,1007,809,2
101,781,667,2
102,969,797,4
103,817,721,1
104,1026,825,3
105,737,636,1
106,1022,789,1
107,736,634,2
108,945,823,0
109,708,587,1
110,875,783,3
111,772,617,1
112,892,740,3
113,703,581,3
114,901,768,4
115,716,605,1
116,896,681,3
117,616,573,0
118,876,670,2
119,701,635,5
120,837,689,0
121,626,555,2
122,834,678,1
123,655,573,2
124,787,648,0
125,639,488,3
126,772,652,2
127,2300,1944,2
128,750,593,1
129,547,509,1
130,716,635,2
131,591,484,2
132,677,620,5
133,559,434,3
134,744,568,4
135,556,432,2
136,685,605,2
137,577,423,2
138,679,541,2
139,545,464,2
140,630,536,3
141,547,412,1
142,638,533,2
143,506,440,3
144,627,501,1
145,469,376,3
146,613,505,2
147,473,405,1
148,590,521,3
149,470,379,1
150,526,504,3
151,437,360,2
152,554,466,2
153,447,395,3
154,516,458,0
155,443,349,5
156,529,434,1
157,374,321,2
158,476,409,1
159,369,289,4
160,469,405,4
161,333,289,3
162,404,380,2
163,338,288,0
164,393,352,4
165,315,292,6
166,362,377,7
167,299,326,3
168,366,340,3
169,269,274,3
170,322,353,5
171,261,249,4
172,330,358,2
173,239,263,4
174,309,292,1
175,250,266,5
176,328,327,5
177,218,267,5
178,300,321,1
179,264,269,2
180,312,316,3
181,254,275,2
182,294,330,5
183,272,306,8
184,343,379,7
185,276,291,6
186,341,373,2
187,305,309,7
188,367,393,4
189,280,277,7
190,376,437,11
191,325,380,2
192,407,407,17
193,331,336,5
194,396,439,9
195,307,312,11
196,370,410,7
197,317,331,8
198,366,403,9
199,307,357,9
200,386,368,10
201,278,306,11
202,345,392,8
203,295,311,9
204,382,375,14
205,265,271,14
206,349,361,11
207,298,328,7
208,347,368,11
209,254,255,7
210,339,328,11
211,265,298,17
212,343,333,15
213,275,262,13
214,315,374,6
215,255,273,19
216,316,350,16
217,239,274,16
218,277,299,10
219,234,249,13
220,298,303,18
221,253,253,14
222,299,286,13
223,229,209,13
224,269,304,16
225,213,203,10
